camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 08:00:34,2,0,0,12,35922,"0,5020800057","0,4078763724"
587ee2aeb807da0011e33d52,2025-11-27 08:00:52,1,0,0,11,36375,"0,465851284","0,3990194014"
587ee2aeb807da0011e33d52,2025-11-27 08:01:10,3,0,0,18,40686,"0,4566128498","0,3147315386"
587ee2aeb807da0011e33d52,2025-11-27 08:01:27,6,0,1,13,30486,"0,3161602497","0,5141600241"
587ee2aeb807da0011e33d52,2025-11-27 08:01:46,0,0,0,14,47577,"0,2207123065","0,18"
587ee2aeb807da0011e33d52,2025-11-27 08:02:03,3,0,0,16,41732,"0,2429919638","0,2942803429"
587ee2aeb807da0011e33d52,2025-11-27 08:02:22,1,0,0,7,42020,"0,3463185742","0,288649421"
587ee2aeb807da0011e33d52,2025-11-27 08:02:39,2,0,0,17,31889,"0,4128018633","0,4867288314"
587ee2aeb807da0011e33d52,2025-11-27 08:02:57,7,0,0,26,33792,"0,5238523922","0,4495217326"
587ee2aeb807da0011e33d52,2025-11-27 08:03:15,5,0,0,11,38447,"0,2365715969","0,3585080463"
587ee2aeb807da0011e33d52,2025-11-27 08:03:33,3,0,0,12,43243,"0,3477111667","0,2647375545"
587ee2aeb807da0011e33d52,2025-11-27 08:03:52,7,0,0,16,34321,"0,4820297648","0,4391788239"
587ee2aeb807da0011e33d52,2025-11-27 08:04:10,4,0,0,15,34693,"0,2040361395","0,4319055497"
587ee2aeb807da0011e33d52,2025-11-27 08:04:28,2,0,0,10,41444,"0,4088844423","0,2999112649"
587ee2aeb807da0011e33d52,2025-11-27 08:04:46,1,0,0,13,44467,"0,3816129179","0,2408061363"
587ee2aeb807da0011e33d52,2025-11-27 08:05:05,5,0,2,12,14332,"0,4703642183","0,83"
587ee2aeb807da0011e33d52,2025-11-27 08:05:23,5,0,0,9,38043,"0,4375808714","0,3664069785"
587ee2aeb807da0011e33d52,2025-11-27 08:05:41,0,0,0,12,41752,"0,4842338871","0,2938893067"
587ee2aeb807da0011e33d52,2025-11-27 08:05:59,4,0,0,9,37052,"0,3025267495","0,3857828245"
587ee2aeb807da0011e33d52,2025-11-27 08:06:19,6,0,0,13,31090,"0,3753129232","0,5023507294"
587ee2aeb807da0011e33d52,2025-11-27 08:06:38,4,0,0,13,44867,"0,4166724017","0,2329854113"
587ee2aeb807da0011e33d52,2025-11-27 08:06:56,1,0,0,14,43000,"0,3688123898","0,2694886449"
587ee2aeb807da0011e33d52,2025-11-27 08:07:14,0,0,0,6,44845,"0,3061510859","0,2334155512"
587ee2aeb807da0011e33d52,2025-11-27 08:07:32,6,0,0,15,40750,"0,3990395983","0,3134802226"
587ee2aeb807da0011e33d52,2025-11-27 08:07:50,3,0,0,20,32619,"0,4605345295","0,4724560084"
